idPlayer,nomePlayer,team_id,team_name,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,slug,apelido,apelido_abreviado,nome,foto,clube_nome
50816,Guilherme Arana,1009,Atlético-MG,"{'A': 1, 'CA': 3, 'DS': 6, 'FC': 9, 'FD': 1, 'FF': 3, 'FS': 5, 'PC': 1, 'PI': 35, 'SG': 3}",87228.0,8.0,282,2.0,6.0,0.0,13.16,0.0,4.62,5.0,6.05,guilherme-arana,Guilherme Arana,G. Arana,Guilherme Antonio Arana Lopes,https://s.glbimg.com/es/sde/f/2021/05/02/282a160d63e94aaad12311a7c3bbf3f0_FORMATO.png,Atlético-MG
52183,Otávio,1009,Atlético-MG,"{'DS': 8, 'FC': 9, 'FS': 1, 'PI': 12}",82463.0,8.0,282,4.0,6.0,0.0,4.15,0.48,1.03,6.0,2.36,otavio,Otávio,Otávio,Otávio Henrique Passos Santos,https://s.glbimg.com/es/sde/f/2022/02/27/4408faa1939fc9ce996ca6db75e58e52_FORMATO.png,Atlético-MG
72610,Ademir,1009,Atlético-MG,"{'A': 1, 'CA': 1, 'DS': 11, 'FC': 6, 'FD': 2, 'FF': 8, 'FS': 19, 'FT': 2, 'I': 2, 'PI': 22}",101314.0,8.0,282,5.0,7.0,0.0,12.34,0.0,5.33,7.0,4.1,ademir,Ademir,Ademir,Ademir da Silva Santos Júnior,https://s.glbimg.com/es/sde/f/2022/02/27/c71d07a4846b5840e9811ed9add0a53c_FORMATO.png,Atlético-MG
45475,Keno,1009,Atlético-MG,"{'CA': 1, 'DS': 4, 'FC': 1, 'FF': 3, 'FS': 5, 'I': 2, 'PI': 18}",86485.0,8.0,282,5.0,6.0,0.0,7.32,0.0,2.13,3.0,3.02,keno,Keno,Keno,Marcos da Silva França,https://s.glbimg.com/es/sde/f/2021/05/02/cc190959ce99d1236ff0a230132fb245_FORMATO.png,Atlético-MG
72372,Guga,1009,Atlético-MG,"{'DS': 8, 'FC': 3, 'FF': 4, 'FS': 8, 'PI': 39, 'SG': 2}",101319.0,8.0,282,2.0,6.0,0.0,8.32,-1.59,4.4,5.0,0.84,guga,Guga,Guga,Cláudio Rodrigues Gomes,https://s.glbimg.com/es/sde/f/2021/05/02/55272cc689e229f13d6488aa7b33406f_FORMATO.png,Atlético-MG
52406,Nathan Silva,1009,Atlético-MG,"{'CA': 4, 'DS': 8, 'FC': 9, 'FD': 1, 'FF': 2, 'FS': 2, 'PI': 7, 'SG': 3}",95794.0,8.0,282,3.0,7.0,0.0,10.19,0.0,5.25,4.0,5.68,nathan-silva,Nathan Silva,N. Silva,Nathanael Ananias da Silva,https://s.glbimg.com/es/sde/f/2021/07/09/f485b236f55b942d9ffa6588b0d47e8f_FORMATO.png,Atlético-MG
28907,Hulk,1009,Atlético-MG,"{'A': 1, 'CA': 3, 'DS': 3, 'FC': 7, 'FD': 3, 'FF': 9, 'FS': 12, 'FT': 1, 'G': 5, 'I': 6, 'PI': 38}",39148.0,8.0,282,5.0,7.0,0.0,22.1,0.2,9.82,6.0,9.73,hulk,Hulk,Hulk,Givanildo Vieira de Souza,https://s.glbimg.com/es/sde/f/2021/04/23/d9ed7fa34aa12e4ce8768c9c2a2b4560_FORMATO.png,Atlético-MG
29029,Everson,1009,Atlético-MG,"{'CA': 1, 'DE': 14, 'GS': 7, 'SG': 3}",72294.0,8.0,282,1.0,7.0,0.0,10.56,-1.74,3.0,7.0,-0.13,everson,Everson,Everson,Everson Felipe Marques Pires,https://s.glbimg.com/es/sde/f/2021/05/02/2eff4cdfd58d4f859979ef83bbe1ad06_FORMATO.png,Atlético-MG
51209,Jair,1009,Atlético-MG,"{'CA': 2, 'DS': 14, 'FC': 6, 'FD': 4, 'FF': 4, 'FS': 3, 'PI': 25}",81091.0,8.0,282,4.0,7.0,0.0,6.86,0.07,2.85,7.0,2.87,jair,Jair,Jair,Jair Rodrigues Júnior,https://s.glbimg.com/es/sde/f/2021/05/02/9f45c3d8021bc336ee9149455cd40768_FORMATO.png,Atlético-MG
23069,Edenílson,1018,Internacional,"{'A': 1, 'CA': 2, 'DS': 10, 'FC': 7, 'FD': 2, 'FF': 7, 'FS': 7, 'FT': 2, 'PI': 31}",63289.0,8.0,285,4.0,7.0,0.0,11.09,0.39,3.9,7.0,2.84,edenilson,Edenílson,Edenílson,Edenílson Andrade dos Santos,https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png,Internacional
