atleta_id,nome,apelido,foto,clube_nome,escudos_foto
72951,Gabriel Iván Mercado,Mercado,https://s.glbimg.com/es/sde/f/2021/07/14/dd3f833b206fed1d05dde7349ae7715d_140x140.png,Internacional,https://s.glbimg.com/es/sde/f/organizacoes/2016/05/03/inter65.png
110607,Gabriel Cordeiro Pirani,Gabriel Pirani,https://s.glbimg.com/es/sde/f/2022/03/03/8a759e93476df07994bba444f880a615_140x140.png,Santos,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/santos_60x60.png
81161,Leonardo Carrilho Baptistão ,Léo Baptistão ,https://s.glbimg.com/es/sde/f/2022/03/03/720ce11785d74738c66fdb3f797d770b_140x140.png,Santos,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/santos_60x60.png
107741,Lucas Henrique Mazetti,Mazetti,https://s.glbimg.com/es/sde/f/2021/05/02/3f3238afe2fa0847d2ea5dc5a501f27d_140x140.png,Internacional,https://s.glbimg.com/es/sde/f/organizacoes/2016/05/03/inter65.png
81677,Carlos Andrés Sánchez Arcosa,Carlos Sánchez,https://s.glbimg.com/es/sde/f/2022/03/03/63b472302f16e36f871bc271d9d355d1_140x140.png,Santos,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/santos_60x60.png
107745,Caio Vidal Rocha,Caio Vidal,https://s.glbimg.com/es/sde/f/2021/05/02/e80137cdde32619c52474dd3a841cf8c_140x140.png,Internacional,https://s.glbimg.com/es/sde/f/organizacoes/2016/05/03/inter65.png
97867,Leonardo Rech Ortiz,Léo Ortiz,https://s.glbimg.com/es/sde/f/2022/02/21/6a781965c7d790e1392f74796dd30127_140x140.png,Bragantino,https://s.glbimg.com/es/sde/f/organizacoes/2020/01/01/65.png
93716,Paulo Henrique de Oliveira Alves,Paulo Henrique,https://s.glbimg.com/es/sde/f/2022/03/03/8240fae5ce98e7a47c5fe5b7e18c773b_140x140.png,Juventude,https://s.glbimg.com/es/sde/f/organizacoes/2021/04/29/juventude65.png
98484,Victor Hugo Soares dos Santos,Kanu,https://s.glbimg.com/es/sde/f/2022/02/21/b1d2b6ae7d7c80be4768237f4820792b_140x140.png,Botafogo,https://s.glbimg.com/es/sde/f/organizacoes/2019/02/04/botafogo-65.png
71071,Ricardo Antonio Mohamed Matijevich,Antonio Mohamed,https://s.glbimg.com/es/sde/f/2022/03/08/9f29bd3b01ad7f8b22ead88e86930382_140x140.png,Atlético-MG,https://s.glbimg.com/es/sde/f/organizacoes/2017/11/23/Atletico-Mineiro-escudo65px.png
104096,William Arthur Assmann,William,https://s.glbimg.com/es/sde/f/2022/03/03/4965839110fe5fdcff916a2516fb313e_140x140.png,Juventude,https://s.glbimg.com/es/sde/f/organizacoes/2021/04/29/juventude65.png
86970,Eduardo Gabriel dos Santos Bauermann,Eduardo Bauermann,https://s.glbimg.com/es/sde/f/2022/03/03/c89e866fa7fb43aaf3b818e5578644d5_140x140.png,Santos,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/santos_60x60.png
101431,Danilo Boza Júnior,Danilo Boza,https://s.glbimg.com/es/sde/f/2022/03/03/62579e6ec2e76ca7456f995e993ae22d_140x140.png,Juventude,https://s.glbimg.com/es/sde/f/organizacoes/2021/04/29/juventude65.png
68923,Carlos Gilberto do Nascimento Silva,Gil,https://s.glbimg.com/es/sde/f/2021/08/06/4139875768caeb6b0b660c71a65008f5_140x140.png,Corinthians,https://s.glbimg.com/es/sde/f/organizacoes/2019/09/30/Corinthians_65.png
83266,Marcos Guilherme de Almeida Santos Matos,Marcos Guilherme,https://s.glbimg.com/es/sde/f/2022/03/03/56fa9c7a8cc8db7fbbfae5c4de39b4c5_140x140.png,Santos,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/santos_60x60.png
91422,César Augusto Soares dos Reis Ribela,César,https://s.glbimg.com/es/sde/f/2022/03/03/d97731002381ac352b29527a634d6783_140x140.png,Juventude,https://s.glbimg.com/es/sde/f/organizacoes/2021/04/29/juventude65.png
105911,Rômulo Zanre Zwarg,Rômulo,https://s.glbimg.com/es/sde/f/2022/03/03/565242321c842a51857c34daf9c9bc81_140x140.png,Juventude,https://s.glbimg.com/es/sde/f/organizacoes/2021/04/29/juventude65.png
102796,Julimar Silva Oliveira Júnior,Julimar,https://s.glbimg.com/es/sde/f/2021/02/20/de210ca4fcb3c0000bf820510f8926b3_140x140.png,Athlético-PR,https://s.glbimg.com/es/sde/f/organizacoes/2019/09/09/Athletico-PR-65x65.png
108712,Gustavo Maia da Silva,Gustavo Maia,https://s.glbimg.com/es/sde/f/2022/02/22/05f221147a0ff5fba78a2c4f61cf2dee_140x140.png,Internacional,https://s.glbimg.com/es/sde/f/organizacoes/2016/05/03/inter65.png
86759,Luan Guilherme de Jesus Vieira,Luan,https://s.glbimg.com/es/sde/f/2021/08/06/328c913e6c5fb79d1eb23f608c77e539_140x140.png,Corinthians,https://s.glbimg.com/es/sde/f/organizacoes/2019/09/30/Corinthians_65.png
90012,Emiliano Daniel Velázquez Maldonado,Velázquez,https://s.glbimg.com/es/sde/f/2022/03/03/8b5a4e18b5c35f49a52903d7b8193346_140x140.png,Santos,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/santos_60x60.png
101596,Vitor Gabriel Claudino Rego Ferreira,Vitor Gabriel,https://s.glbimg.com/es/sde/f/2022/03/03/0744b4a85cead311d99a4c1d6d279b39_140x140.png,Juventude,https://s.glbimg.com/es/sde/f/organizacoes/2021/04/29/juventude65.png
93377,Jobson Souza Santos,Jobson,https://s.glbimg.com/es/sde/f/2022/03/03/b96d7076abc1f17b19220ae8c230ff7e_140x140.png,Santos,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/santos_60x60.png
