atleta_id,nome,apelido,foto,clube_nome,escudos_foto,abreviacao_pos
99214,Rodrigo Fernández Cedrés,Rodrigo Fernández,https://s.glbimg.com/es/sde/f/2022/03/29/6fdde8730fb97a5d12a85b4ebd9d4e93_140x140.png,Santos,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/santos_60x60.png,mei
112368,Bernardo Marcos Pinheiro Lemes,Bernardo,https://s.glbimg.com/es/sde/f/2022/02/23/b2b2c421852c3e7501d00cc9bfa66b1c_140x140.png,Coritiba,https://s.glbimg.com/es/sde/f/organizacoes/2017/03/29/coritiba65.png,mei
105911,Rômulo Zanre Zwarg,Rômulo,https://s.glbimg.com/es/sde/f/2022/03/03/565242321c842a51857c34daf9c9bc81_140x140.png,Juventude,https://s.glbimg.com/es/sde/f/organizacoes/2021/04/29/juventude65.png,mei
38909,Diego Ribas da Cunha,Diego,https://s.glbimg.com/es/sde/f/2022/03/03/1dccbd8c308ee01a18acf212ed6aaf90_140x140.png,Flamengo,https://s.glbimg.com/es/sde/f/organizacoes/2018/04/09/Flamengo-65.png,mei
104074,Walce da Silva Costa Filho,Walce,https://s.glbimg.com/es/sde/f/2022/03/01/42769c38f612d4af2143de3132ce1cec_140x140.png,São Paulo,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/sao_paulo_60x60.png,zag
111637,Kaiky Fernandes Melo,Kaiky,https://s.glbimg.com/es/sde/f/2022/03/03/9bf3a0809a51d2c429254d36553a45f4_140x140.png,Santos,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/santos_60x60.png,zag
111413,Igor da Silva Dutra,Igor,https://s.glbimg.com/es/sde/f/2022/02/23/e2415bc46c8e600866f7be1d673bee12_140x140.png,Avaí,https://s.glbimg.com/es/sde/f/organizacoes/2018/09/04/escudo-avai-65x65.png,lat
110995,Pedro Henrique Azevedo Pereira,Pedrinho,https://s.glbimg.com/es/sde/f/2021/10/04/a4618559793af2d381a5aafe03c3616a_140x140.png,Athlético-PR,https://s.glbimg.com/es/sde/f/organizacoes/2019/09/09/Athletico-PR-65x65.png,lat
112831,Gustavo Santos Simões da Silva,Gustavo Santos,https://s.glbimg.com/es/sde/f/2022/02/24/9a793f8d88106ebaa9639f638c89bc0b_140x140.png,Avaí,https://s.glbimg.com/es/sde/f/organizacoes/2018/09/04/escudo-avai-65x65.png,ata
113857,Felipe Florencio da Silva,Lipe,https://s.glbimg.com/es/sde/f/2022/02/21/93072ab058127d5a10ce32d35f85beae_140x140.png,Avaí,https://s.glbimg.com/es/sde/f/organizacoes/2018/09/04/escudo-avai-65x65.png,zag
111798,Marcelo Francine de Castro Feliciano,Marcelinho,_140x140.png,Fluminense,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/fluminense_60x60.png,ata
103777,Pedro Henrique Rodrigues Bicalho,Pedro Bicalho,https://s.glbimg.com/es/sde/f/2021/01/08/3ec8503326f8e51a9fe7bafc9265f01d_FORMATO.jpeg_140x140.png,Palmeiras,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/palmeiras_60x60.png,mei
113016,Luiz Guilherme Vieira da Silva,Luizão,https://s.glbimg.com/es/sde/f/2022/02/23/a36170dc03e86a3f91d44881f495840e_140x140.png,Coritiba,https://s.glbimg.com/es/sde/f/organizacoes/2017/03/29/coritiba65.png,ata
51772,Everton Augusto de Barros Ribeiro,Everton Ribeiro,https://s.glbimg.com/es/sde/f/2022/03/03/352b1263ce8ec32b26934320b16d3840_140x140.png,Flamengo,https://s.glbimg.com/es/sde/f/organizacoes/2018/04/09/Flamengo-65.png,mei
116825,Jhonny Cardinoti Pedro,Jhonny,https://s.glbimg.com/es/sde/f/2022/02/24/07c2ee6d264dd5863593c52fdaba42b5_140x140.png,Fluminense,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/fluminense_60x60.png,lat
110775,Marco Antônio Amorim de Oliveira Montes,Marcão,https://s.glbimg.com/es/sde/f/2022/02/23/9af5466c91b9b05942f53c8d397eea94_140x140.png,Coritiba,https://s.glbimg.com/es/sde/f/organizacoes/2017/03/29/coritiba65.png,gol
110235,João Victor Vaz Lopes Pinto,Vitinho,https://s.glbimg.com/es/sde/f/2022/02/21/06f62207594681a2c0cf91f05c7c0ee9_140x140.png,Botafogo,https://s.glbimg.com/es/sde/f/organizacoes/2019/02/04/botafogo-65.png,ata
94154,Maycon de Andrade Barberan,Maycon,https://s.glbimg.com/es/sde/f/2022/04/10/370bf74e05a200ff1bdbfe59273bf266_140x140.png,Corinthians,https://s.glbimg.com/es/sde/f/organizacoes/2019/09/30/Corinthians_65.png,mei
39850,Vagner Carmo Mancini,Vagner Mancini,https://s.glbimg.com/es/sde/f/2021/04/28/5745220dd2c869e1f9de357e41902989_140x140.png,América-MG,https://s.glbimg.com/es/sde/f/organizacoes/2019/02/28/escudo65_1.png,tec
98888,Cláudio Vitor Morais de Lima Cruz,Cláudio Vitor,https://s.glbimg.com/es/sde/f/2022/02/21/5b3e266e38c6e96d2301a3aac76f74d2_140x140.png,Avaí,https://s.glbimg.com/es/sde/f/organizacoes/2018/09/04/escudo-avai-65x65.png,gol
91968,Rodrigo Bassani da Cruz,Bassani,https://s.glbimg.com/es/sde/f/2022/03/03/b1eb73f1949ff665ab7120fd00d76d28_140x140.png,Juventude,https://s.glbimg.com/es/sde/f/organizacoes/2021/04/29/juventude65.png,mei
105171,Fabrício Daniel de Souza,Fabrício,https://s.glbimg.com/es/sde/f/2022/03/28/f0649db7ef628f37d591d13a7698494f_140x140.png,Coritiba,https://s.glbimg.com/es/sde/f/organizacoes/2017/03/29/coritiba65.png,ata
107044,Alexandre de Jesus Jeruzalem Júnior,Alexandre Jesus,https://s.glbimg.com/es/sde/f/2021/03/11/2cd0a3080b756150df221b41afd772f0_140x140.png,Fluminense,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/fluminense_60x60.png,ata
107226,Vitor Ricardo Guerra Candido Wach,Vitor Ricardo,https://s.glbimg.com/es/sde/f/2022/02/25/f9c34555359e8b47ae00538231aa5bf8_140x140.png,Fortaleza,https://s.glbimg.com/es/sde/f/organizacoes/2021/09/19/65_0000_Fortaleza-2021.png,lat
101716,Bruno Roberto Pereira da Silva,Bruninho,https://s.glbimg.com/es/sde/f/2022/03/03/f8167f9298a3f41c68c3acac45883644_140x140.png,Juventude,https://s.glbimg.com/es/sde/f/organizacoes/2021/04/29/juventude65.png,mei
104681,Gabriel Santos Silva,Gabriel Silva,https://s.glbimg.com/es/sde/f/2022/03/29/208d9eaf6488734e37ec5ee3a9192684_140x140.png,Fortaleza,https://s.glbimg.com/es/sde/f/organizacoes/2021/09/19/65_0000_Fortaleza-2021.png,ata
110708,Pedro Felipe De Faria Rangel,Pedro Rangel,https://s.glbimg.com/es/sde/f/2022/02/24/42afa9891ec69bb753c76f8d746939a9_140x140.png,Fluminense,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/fluminense_60x60.png,gol
71227,Maicon Pereira Roque,Maicon,https://s.glbimg.com/es/sde/f/2022/03/14/d137592918a80391170a5d4fdc021480_140x140.png,Santos,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/santos_60x60.png,zag
71691,Óscar Ramón Ruiz Roa,Óscar Ruíz,https://s.glbimg.com/es/sde/f/2022/03/29/898734e22fa875d79527394af4789eeb_140x140.png,Juventude,https://s.glbimg.com/es/sde/f/organizacoes/2021/04/29/juventude65.png,ata
