,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,data,X_adj,Y_adj,team_name,opposing_team_name,team_name_base,opposing_team_name_base
170,441046,83,BlockedShot,0.7680000305175781,0.36400001525878906,0.021622363477945328,Ihlas Bebou,a,6271,OpenPlay,2021,LeftFoot,17607,Bochum,Hoffenheim,2,0,2021-11-06 14:30:00,,Rebound,2021-11-06,92.16000366210938,29.120001220703124,Hoffenheim,Bochum,1899 Hoffenheim,VfL BOCHUM
186,441244,28,Goal,0.9719999694824218,0.5870000076293945,0.6728635430335999,Christopher Nkunku,h,3300,OpenPlay,2021,RightFoot,17613,RasenBallsport Leipzig,Borussia Dortmund,2,1,2021-11-06 17:30:00,Josko Gvardiol,TakeOn,2021-11-06,116.63999633789062,46.96000061035156,RasenBallsport Leipzig,Borussia Dortmund,RB Leipzig,Borussia Dortmund
338,441258,77,BlockedShot,0.7430000305175781,0.715,0.01560825016349554,Thorgan Hazard,a,213,OpenPlay,2021,RightFoot,17613,RasenBallsport Leipzig,Borussia Dortmund,2,1,2021-11-06 17:30:00,Jude Bellingham,Pass,2021-11-06,89.16000366210938,57.2,Borussia Dortmund,RasenBallsport Leipzig,Borussia Dortmund,RB Leipzig
153,440999,87,SavedShot,0.8630000305175781,0.4520000076293945,0.09920454770326614,Lucas Höler,a,6475,OpenPlay,2021,RightFoot,17614,Bayern Munich,Freiburg,2,1,2021-11-06 14:30:00,Kiliann Sildillia,Pass,2021-11-06,103.56000366210938,36.16000061035156,Freiburg,Bayern Munich,SC Freiburg,Bayern Munich
152,440966,11,MissedShots,0.8030000305175782,0.5059999847412109,0.046353548765182495,Lucas Höler,a,6475,OpenPlay,2021,RightFoot,17614,Bayern Munich,Freiburg,2,1,2021-11-06 14:30:00,,None,2021-11-06,96.36000366210938,40.47999877929687,Freiburg,Bayern Munich,SC Freiburg,Bayern Munich
317,440995,74,MissedShots,0.9,0.5670000076293945,0.4156408905982971,Leroy Sané,h,337,OpenPlay,2021,RightFoot,17614,Bayern Munich,Freiburg,2,1,2021-11-06 14:30:00,Alphonso Davies,Pass,2021-11-06,108.0,45.360000610351555,Bayern Munich,Freiburg,Bayern Munich,SC Freiburg
316,440990,65,MissedShots,0.6909999847412109,0.39799999237060546,0.03474276140332222,Leroy Sané,h,337,DirectFreekick,2021,LeftFoot,17614,Bayern Munich,Freiburg,2,1,2021-11-06 14:30:00,,Standard,2021-11-06,82.91999816894531,31.839999389648437,Bayern Munich,Freiburg,Bayern Munich,SC Freiburg
315,440980,53,SavedShot,0.7119999694824218,0.57,0.02253379300236702,Leroy Sané,h,337,OpenPlay,2021,LeftFoot,17614,Bayern Munich,Freiburg,2,1,2021-11-06 14:30:00,Leon Goretzka,Pass,2021-11-06,85.43999633789062,45.599999999999994,Bayern Munich,Freiburg,Bayern Munich,SC Freiburg
17,440944,21,MissedShots,0.86,0.56,0.35585784912109375,Paulo Otávio,h,8213,OpenPlay,2021,RightFoot,17612,Wolfsburg,Augsburg,1,0,2021-11-06 14:30:00,Lukas Nmecha,Pass,2021-11-06,103.2,44.800000000000004,Wolfsburg,Augsburg,VfL Wolfsburg,FC Augsburg
187,441253,59,SavedShot,0.879000015258789,0.605,0.01699240691959858,Christopher Nkunku,h,3300,FromCorner,2021,Head,17613,RasenBallsport Leipzig,Borussia Dortmund,2,1,2021-11-06 17:30:00,Dominik Szoboszlai,Cross,2021-11-06,105.48000183105468,48.4,RasenBallsport Leipzig,Borussia Dortmund,RB Leipzig,Borussia Dortmund
188,441255,63,ShotOnPost,0.8669999694824219,0.4370000076293945,0.11355715245008469,Christopher Nkunku,h,3300,OpenPlay,2021,RightFoot,17613,RasenBallsport Leipzig,Borussia Dortmund,2,1,2021-11-06 17:30:00,Yussuf Poulsen,TakeOn,2021-11-06,104.03999633789063,34.96000061035156,RasenBallsport Leipzig,Borussia Dortmund,RB Leipzig,Borussia Dortmund
314,440969,20,SavedShot,0.8780000305175781,0.6509999847412109,0.0566389262676239,Leroy Sané,h,337,OpenPlay,2021,RightFoot,17614,Bayern Munich,Freiburg,2,1,2021-11-06 14:30:00,Joshua Kimmich,Chipped,2021-11-06,105.36000366210938,52.07999877929688,Bayern Munich,Freiburg,Bayern Munich,SC Freiburg
42,441017,62,MissedShots,0.705999984741211,0.44799999237060545,0.016179503872990608,Mateo Klimowicz,h,8809,OpenPlay,2021,RightFoot,17611,VfB Stuttgart,Arminia Bielefeld,0,1,2021-11-06 14:30:00,Roberto Massimo,Pass,2021-11-06,84.71999816894531,35.83999938964843,VfB Stuttgart,Arminia Bielefeld,VfB Stuttgart,Arminia Bielefeld
0,440959,81,SavedShot,0.8680000305175781,0.66,0.09642677009105682,Felix Nmecha,h,9202,OpenPlay,2021,RightFoot,17612,Wolfsburg,Augsburg,1,0,2021-11-06 14:30:00,Wout Weghorst,Pass,2021-11-06,104.16000366210936,52.800000000000004,Wolfsburg,Augsburg,VfL Wolfsburg,FC Augsburg
