,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,data,X_adj,Y_adj,team_name,opposing_team_name,team_name_base,opposing_team_name_base
226,425904,87,MissedShots,0.7290000152587891,0.595999984741211,0.04679977521300316,Leon Bailey,a,5221,DirectFreekick,2021,LeftFoot,16382,Watford,Aston Villa,3,2,2021-08-14 14:00:00,,Standard,2021-08-14,87.4800018310547,47.67999877929688,Aston Villa,Watford,Aston Villa,Watford
184,425804,37,SavedShot,0.8480000305175781,0.5929999923706055,0.05208665505051613,Neal Maupay,a,3621,OpenPlay,2021,RightFoot,16378,Burnley,Brighton,1,2,2021-08-14 14:00:00,Enock Mwepu,HeadPass,2021-08-14,101.76000366210938,47.43999938964844,Brighton,Burnley,Brighton,Burnley
42,425983,23,MissedShots,0.6909999847412109,0.034000000953674316,0.007212541066110134,Todd Cantwell,h,7695,OpenPlay,2021,RightFoot,16383,Norwich,Liverpool,0,3,2021-08-14 16:30:00,,BallRecovery,2021-08-14,82.91999816894531,2.720000076293945,Norwich,Liverpool,Norwich,Liverpool
1,425997,62,SavedShot,0.8959999847412109,0.6469999694824219,0.10001077502965927,Konstantinos Tsimikas,a,8852,OpenPlay,2021,LeftFoot,16383,Norwich,Liverpool,0,3,2021-08-14 16:30:00,Sadio Mané,Pass,2021-08-14,107.5199981689453,51.75999755859375,Liverpool,Norwich,Liverpool,Norwich
274,425884,88,MissedShots,0.874000015258789,0.3609999847412109,0.04896058887243271,Raúl Jiménez,a,4105,FromCorner,2021,RightFoot,16381,Leicester,Wolverhampton Wanderers,1,0,2021-08-14 14:00:00,,None,2021-08-14,104.88000183105468,28.879998779296873,Wolverhampton Wanderers,Leicester,Wolves,Leicester
115,426009,89,MissedShots,0.7730000305175782,0.549000015258789,0.027757743373513222,Lukas Rupp,h,62,OpenPlay,2021,LeftFoot,16383,Norwich,Liverpool,0,3,2021-08-14 16:30:00,Kieran Dowell,Pass,2021-08-14,92.76000366210937,43.92000122070312,Norwich,Liverpool,Norwich,Liverpool
284,425851,53,BlockedShot,0.8980000305175782,0.6090000152587891,0.023616647347807884,Abdoulaye Doucouré,h,1726,OpenPlay,2021,Head,16380,Everton,Southampton,3,1,2021-08-14 14:00:00,Andros Townsend,Cross,2021-08-14,107.76000366210938,48.72000122070313,Everton,Southampton,Everton,Southampton
285,425854,75,Goal,0.8490000152587891,0.3870000076293945,0.03909936174750328,Abdoulaye Doucouré,h,1726,OpenPlay,2021,RightFoot,16380,Everton,Southampton,3,1,2021-08-14 14:00:00,Alex Iwobi,HeadPass,2021-08-14,101.8800018310547,30.960000610351564,Everton,Southampton,Everton,Southampton
250,425806,40,MissedShots,0.8480000305175781,0.6680000305175782,0.042472630739212036,Pascal Groß,a,239,FromCorner,2021,RightFoot,16378,Burnley,Brighton,1,2,2021-08-14 14:00:00,,Rebound,2021-08-14,101.76000366210938,53.44000244140625,Brighton,Burnley,Brighton,Burnley
251,425822,91,BlockedShot,0.785,0.19299999237060547,0.011738255620002747,Pascal Groß,a,239,OpenPlay,2021,RightFoot,16378,Burnley,Brighton,1,2,2021-08-14 14:00:00,,Rebound,2021-08-14,94.20000000000002,15.439999389648436,Brighton,Burnley,Brighton,Burnley
