,player_name,player_id,understat_id
141,Hans Nunoo Sarpei,25160,7179
142,Dickson Abiama,194682,9719
143,Jamie Leweling,128533,9718
144,Robin Zentner,25906,449
146,Stefan Bell,25907,40
147,Alexander Hack,25913,52
148,Silvan Widmer,48378,1139
149,Niklas Tauer,202731,8847
152,Paul Nebel,202736,8846
154,Jae-Sung Lee,2906,9783
155,Stephan Fürstner,26278,9784
156,Péter Gulácsi,1139,5241
157,Nordi Mukiele,1146,5659
159,Mohamed Simakan,22250,7551
161,Tyler Adams,1150,7352
162,Kevin Kampl,1155,188
163,Amadou Haidara,1153,7501
164,Emil Forsberg,1152,5249
165,Christopher Nkunku,269,3300
166,André Silva,2063,6170
167,Marcel Sabitzer,1159,5248
168,Dominik Szoboszlai,1096,9788
169,Brian Brobbey,38750,9789
170,Hee-Chan Hwang,24888,8845
172,Robert Gumny,3001,8803
173,Jeffrey Gouweleeuw,25290,2665
174,Felix Uduokhai,25406,6100
175,Iago,10375,8065
176,Jan Morávek,25302,367
177,Niklas Dorsch,24904,6411
178,André Hahn,25298,412
179,Fredrik Jensen,25299,7197
180,Ruben Vargas,48471,7810
181,Florian Niederlechner,26257,306
182,Mads Pedersen,15901,7809
183,Daniel Caligiuri,410,157
184,Arne Maier,25355,5298
185,Michael Gregoritsch,25297,171
186,Noah Joel Sarenren Bazee,25385,2659
187,Oliver Baumann,702,73
188,Kevin Akpoguma,25366,6327
189,Stefan Posch,711,5329
190,Kevin Vogt,713,133
191,David Raum,25158,9724
192,Sebastian Rudy,416,90
193,Angelo Stiller,137210,9725
194,Christoph Baumgartner,715,7422
195,Munas Dabbur,1097,8140
196,Jacob Bruun Larsen,22,5355
199,Marco John,162723,9108
201,Sargis Adamyan,24993,7900
202,Georginio Rutter,90590,6937
205,Amos Pieper,25011,7320
206,Joakim Nilsson,48065,8799
207,Jacob Laursen,15848,8795
208,Fabian Kunze,25499,8793
209,Manuel Prietl,25016,8789
210,Alessandro Schöpf,417,2638
211,Masaya Okugawa,24968,9352
212,Bryan Lasme,24228,9727
213,Fabian Klos,25025,8792
216,Robin Hack,725,6351
217,Florian Krüger,25109,9728
218,Mark Flekken,26232,7047
219,Manuel Gulde,26235,5292
220,Philipp Lienhart,26240,2611
221,Nico Schlotterbeck,26243,7485
222,Jonathan Schmid,25303,81
223,Yannik Keitel,178093,8206
224,Nicolas Höfler,26250,4250
225,Christian Günter,26236,4243
226,Woo-Yeong Jeong,512,7267
227,Vincenzo Grifo,26248,5266
228,Lucas Höler,26255,6475
229,Dominique Heintz,26237,129
230,Janik Haberer,26249,4271
