,player_name,player_id,understat_id
131,Fernando Marçal,652,5708
133,Raúl Jiménez,2887,4105
134,Adama Traoré,18753,900
135,Leander Dendoncker,2922,7236
136,Morgan Gibbs-White,18746,6857
138,Aaron Wan-Bissaka,18846,5584
139,Victor Lindelöf,889,6080
140,Harry Maguire,2935,1687
141,Luke Shaw,891,1006
142,Scott McTominay,903,5560
143,Fred,905,6817
144,Daniel James,19329,5595
145,Bruno Fernandes,1485,1228
146,Paul Pogba,904,1740
147,Mason Greenwood,897,7490
148,Jadon Sancho,18,6345
150,Anthony Martial,908,553
151,Illan Meslier,20619,8715
152,Luke Ayling,19116,8716
153,Pascal Struijk,64003,8717
154,Liam Cooper,19118,8816
155,Stuart Dallas,19126,8718
156,Robin Koch,26238,6273
157,Raphinha,1496,8026
158,Rodrigo,935,2381
159,Mateusz Klich,3008,4381
160,Jack Harrison,19128,8720
161,Patrick Bamford,19134,822
163,Tyler Roberts,19139,1014
164,Hélder Costa,18752,3428
165,Freddie Woodman,18889,852
166,Jacob Murphy,19163,6063
167,Emil Krafth,2855,1545
168,Federico Fernández,18893,708
169,Ciaran Clark,18891,875
170,Matt Ritchie,18903,461
171,Isaac Hayden,18899,6062
172,Jonjo Shelvey,18904,769
173,Miguel Almirón,2507,7420
174,Callum Wilson,2939,468
175,Allan Saint-Maximin,22173,101
176,Ryan Fraser,18873,1683
177,Sean Longstaff,18901,7078
178,Joelinton,723,87
181,Craig Dawson,19147,804
182,Angelo Ogbonna,18817,528
183,Aaron Cresswell,18813,534
184,Declan Rice,2937,5553
186,Jarrod Bowen,19428,1776
188,Pablo Fornals,1697,2335
189,Michail Antonio,18819,531
190,Tim Krul,19061,982
191,Max Aarons,19070,7688
192,Grant Hanley,19066,7690
193,Ben Gibson,18914,1707
196,Billy Gilmour,130423,7988
197,Lukas Rupp,720,62
198,Todd Cantwell,19072,7695
199,Teemu Pukki,19085,7696
200,Milot Rashica,25324,6523
201,Adam Idah,130417,8021
203,Alisson,280,1257
204,Trent Alexander-Arnold,283,1791
206,Virgil van Dijk,290,833
207,Konstantinos Tsimikas,1600,8852
208,Alex Oxlade-Chamberlain,297,966
209,James Milner,296,489
211,Mohamed Salah,306,1250
212,Diogo Jota,2678,6854
213,Sadio Mané,304,838
214,Fabinho,299,3420
215,Harvey Elliott,19035,7546
216,Roberto Firmino,302,482
217,Hugo Lloris,159,637
218,Japhet Tanganga,149550,8222
219,Davinson Sánchez,168,6249
220,Eric Dier,175,643
221,Sergio Reguilón,739,7187
222,Pierre-Emile Højbjerg,2735,343
223,Oliver Skipp,180,7198
224,Dele Alli,172,645
225,Lucas Moura,178,3293
227,Steven Bergwijn,244,8300
228,Matt Doherty,18742,6852
229,Giovani Lo Celso,1578,5681
230,Ederson,617,6054
231,João Cancelo,855,2379
232,Rúben Dias,567,8961
233,Nathan Aké,18861,579
234,Benjamin Mendy,623,3389
236,Fernandinho,640,614
237,Jack Grealish,19187,675
238,Riyad Mahrez,635,750
239,Ferrán Torres,931,6441
240,Raheem Sterling,645,618
241,Oleksandr Zinchenko,641,2958
242,Kevin De Bruyne,629,447
243,Gabriel Jesus,643,5543
244,Daniel Bachmann,44775,1025
245,Craig Cathcart,18793,581
246,William Troost-Ekong,2773,6996
247,Christian Kabasele,18797,1725
248,Adam Masina,18799,1441
249,Oghenekaro Etebo,2774,6538
251,Tom Cleverley,18804,596
252,Juraj Kucka,31023,1123
253,Ken Sema,2860,6841
254,Emmanuel Dennis,80,9301
255,Dan Gosling,18874,462
257,Troy Deeney,18808,574
261,Tyrone Mings,19179,1024
262,Matt Targett,18941,884
263,John McGinn,19191,7723
264,Marvelous Nakamba,76,8040
265,Anwar El Ghazi,19195,5612
266,Emiliano Buendía,19071,2203
267,Ashley Young,894,631
268,Danny Ings,18955,986
269,Jacob Ramsey,19192,8941
270,Bertrand Traoré,671,695
271,Leon Bailey,983,5221
272,Cédric Soares,190,847
273,Rob Holding,1440,1749
274,Pierre-Emerick Aubameyang,1465,318
275,Romelu Lukaku,907,594
277,Hakim Ziyech,548,8992
278,Douglas Luiz,47522,6122
279,Axel Tuanzebe,19182,934
280,Jaden Philogene-Bidace,138931,9415
281,Fabian Schär,2806,76
282,Jamaal Lascelles,18894,766
284,Aaron Connolly,19772,7991
286,Joshua King,18881,465
287,Conor Gallagher,67972,9040
288,Yoane Wissa,20649,5786
289,Saman Ghoddos,2699,7069
290,Kalvin Phillips,19130,8719
291,Jamie Shackleton,19131,8721
292,Fabian Delph,630,876
293,Jordan Henderson,292,605
295,Erik Pieters,21383,887
296,Kyle Walker,627,638
297,Aymeric Laporte,622,2498
298,Bernardo Silva,636,3635
299,Rodri,44,2496
301,Cole Palmer,152982,8497
302,Bali Mumba,19894,9747
303,Kenny McLean,19077,7693
304,Kyle Walker-Peters,171,885
305,Jan Bednarek,2999,6042
306,Jesse Lingard,900,558
307,Patson Daka,1098,9738
308,Nélson Semedo,130,6163
311,Harry Kane,184,647
312,Carney Chukwuemeka,138935,9356
313,Kortney Hause,19177,6859
314,Ollie Watkins,19366,8865
315,Shandon Baptiste,20110,9914
316,Mathias Jensen,47438,7166
317,Joël Veltman,537,8780
318,Taylor Richards,639,9735
319,Danny Welbeck,1469,501
320,André Gomes,18765,2383
321,Aaron Lennon,18925,593
322,Diego Llorente,47302,2163
323,Andrew Robertson,289,1688
324,Thiago Silva,259,3288
327,Ainsley Maitland-Niles,1456,1750
328,Mohamed Elneny,1452,496
329,Alexandre Lacazette,1467,3277
330,Mohamed Elyounoussi,18946,6894
331,Armando Broja,138822,8384
332,Brandon Williams,138806,8075
333,Marc Albrighton,18777,753
334,Timothy Castagne,2920,6157
335,Kiernan Dewsbury-Hall,148099,9739
336,Francisco Sierralta,31016,7081
337,Moussa Sissoko,179,772
338,Jeremy Ngakia,193296,8235
339,Manuel Lanzini,2473,535
340,Andriy Yarmolenko,18834,6274
341,Daniel Podence,1605,8291
343,Edinson Cavani,274,3294
344,Aaron Ramsdale,20355,5603
345,Takehiro Tomiyasu,2597,7931
